cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-s11-b75-a1.00,0.485,109.13249999999593,0.051435904878355074,0.7479999999999992,0.53,17.0,4.0,17.0,17.0,0.9136563955370298,3782.0,32848,RL
RL-s16-b75-a1.00,0.485,115.43749999999554,0.0335608530962423,0.14575,0.515,7.0,4.0,7.0,17.0,0.9081163866012912,115.0,34377,RL
RL-s8-b25-a1.00,0.48250000000000004,108.96699999999585,0.05027712626270754,0.2752499999999999,0.51,2.0,1.0,2.0,8.0,0.976319435374429,4.0,33886,RL
RL-s10-b25-a1.00,0.48,111.57999999999575,0.038706112871164836,0.16474999999999995,0.465,7.0,4.0,7.0,17.0,0.9241976573430045,117.0,32283,RL
RL-s13-b25-a1.00,0.4675,107.92899999999592,0.04818232613625764,0.32324999999999987,0.485,3.0,1.0,3.0,10.0,0.9808248458238213,8.0,32381,RL
RL-s18-b275-a1.00,0.46499999999999997,112.5434999999957,0.03629105539170169,0.2845,0.48,7.0,4.0,7.0,17.0,0.9220650523521787,116.0,34274,RL
RL-s19-b100-a1.00,0.45999999999999996,100.12474999999642,0.21017548751492132,0.7364999999999992,0.615,17.0,7.0,17.0,17.0,0.8611366982182914,4425.0,31493,RL
RL-s11-b50-a1.00,0.4575,109.46024999999588,0.043777865545993756,0.2782499999999999,0.49,13.0,5.0,13.0,17.0,0.8973708742543931,1567.0,31574,RL
RL-s18-b25-a1.00,0.41,106.55749999999603,0.046327233145894785,0.15049999999999997,0.41,7.0,3.0,7.0,17.0,0.9171969088044607,124.0,32404,RL
RL-s19-b50-a1.00,0.4,104.5977499999961,0.04943507461018559,0.26699999999999996,0.415,3.0,2.0,3.0,17.0,0.970876604106952,8.0,31320,RL
RL-s17-b75-a1.00,0.33749999999999997,88.84049999999704,0.3089921406127129,0.7052499999999994,0.47,17.0,7.0,17.0,17.0,0.8494832696509241,3828.0,27125,RL
RL-s14-b25-a1.00,0.32999999999999996,109.08749999999591,0.051825692799580464,0.4267499999999997,0.37,17.0,17.0,17.0,17.0,0.7908906255793247,3778.0,32208,RL
