cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family,train_seed,budget,alpha,bt_version,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
BTO-s1-b100,0.5925,106.822624999996,0.0576047501365311,1.579874999999998,0.8775,3.0,3.0,3.0,17.0,0.9732194205430336,8.0,31043,BTO,1,100,0.0,-1,4.0,2.0,17.0,0.9563367724781922,0.7117581431027591,0.248391864441244
SHD-s11-b300,0.5925,106.40049999999596,0.0083327371711003,0.6128749999999994,0.7125,17.0,4.0,17.0,17.0,0.9116467221327332,2238.0,29581,Shield,11,300,1.0,-1,17.0,6.0,17.0,0.8673907247193337,0.6971038150798194,0.2332359299513229
HYB-s18-b100-a0.25,0.59125,103.47374999999612,0.0787227073847405,0.9238749999999988,0.6825,17.0,4.0,17.0,17.0,0.9230696141824644,3196.0,32041,Hybrid,18,100,0.25,-1,5.0,2.0,17.0,0.9384740693618966,0.6715467675582778,0.235968357645488
HYB-s9-b300-a0.25,0.5900000000000001,102.89149999999614,0.0661868479021767,0.8947499999999988,0.665,17.0,3.0,17.0,17.0,0.9142055741305616,3657.0,31685,Hybrid,9,300,0.25,-1,7.0,3.0,17.0,0.9314071539170536,0.6872177947964512,0.2293136496404219
SHD-s2-b300,0.5887500000000001,106.79924999999594,0.009897779563118,0.351125,0.6225,17.0,4.0,17.0,17.0,0.9086759817905588,3298.0,33482,Shield,2,300,1.0,-1,17.0,8.0,17.0,0.7879189791385235,0.6789393576916692,0.2432198997920789
HYB-s16-b200-a0.50,0.58875,109.05999999999584,0.0479869044947059,0.5268749999999994,0.63,17.0,4.0,17.0,17.0,0.9218763840205166,5077.0,33615,Hybrid,16,200,0.5,-1,17.0,6.0,17.0,0.8740896020837421,0.6834216175390572,0.2307260824391306
HYB-s18-b300-a0.50,0.58875,111.04199999999574,0.0394559176513911,0.3332499999999998,0.6275,17.0,4.0,17.0,17.0,0.9034669422102424,3057.0,31776,Hybrid,18,300,0.5,-1,17.0,17.0,17.0,0.7633151146113323,0.6834596654821494,0.2380951682825895
HYB-s16-b200-a0.25,0.58875,105.04799999999604,0.0621428342464714,0.871874999999999,0.6775,5.0,3.0,5.0,17.0,0.9334511155591744,32.0,31242,Hybrid,16,200,0.25,-1,8.0,4.0,17.0,0.9284174440170782,0.6608161147919905,0.2184621924211232
BTO-s0-b200,0.5875,105.55124999999606,0.0568935232794905,1.608749999999998,0.88,4.0,3.0,4.0,17.0,0.956316709852643,16.0,32468,BTO,0,200,0.0,-1,5.0,2.0,17.0,0.9439628646779258,0.7108645816287342,0.2494405489086695
HYB-s8-b200-a0.50,0.58625,105.562624999996,0.0573287915823654,0.5931249999999995,0.6175,17.0,5.0,17.0,17.0,0.8887476065836666,2759.0,32060,Hybrid,8,200,0.5,-1,17.0,5.0,17.0,0.8945975623613964,0.6961725221949724,0.2513174036476475
HYB-s19-b100-a0.50,0.5862499999999999,95.31687499999666,0.1222284570021707,1.0726249999999986,0.7525,17.0,5.0,17.0,17.0,0.882333427280041,3545.0,27959,Hybrid,19,100,0.5,-1,17.0,4.0,17.0,0.9040131782583806,0.6952286183927988,0.2669246838970448
HYB-s3-b100-a0.75,0.5862499999999999,112.6862499999957,0.042480310860587,0.6377499999999994,0.615,17.0,3.0,17.0,17.0,0.9144259229124556,4145.0,33241,Hybrid,3,100,0.75,-1,17.0,6.0,17.0,0.8935540737789369,0.6907743979290252,0.2447754135858134
BTO-s0-b100,0.58375,106.04062499999604,0.0614892445774626,1.5613749999999975,0.86,3.0,3.0,3.0,17.0,0.9608680824605718,8.0,32287,BTO,0,100,0.0,-1,4.0,2.0,17.0,0.9556634058499918,0.707872879591197,0.2443154772284858
HYB-s18-b200-a0.50,0.58375,107.30637499999594,0.050061204572798,0.4467499999999995,0.6275,17.0,17.0,17.0,17.0,0.8682355808744748,3085.0,31936,Hybrid,18,200,0.5,-1,17.0,6.0,17.0,0.8696975063475083,0.7054422073047112,0.2447808958336193
HYB-s19-b300-a0.25,0.5825,108.22687499999586,0.0677674139362811,0.9384999999999988,0.6525,17.0,3.0,17.0,17.0,0.923087253666278,2713.0,33236,Hybrid,19,300,0.25,-1,6.0,3.0,17.0,0.9292441302441236,0.6828766433908536,0.2290820783219062
HYB-s5-b300-a0.25,0.58125,103.66462499999608,0.0642923585765219,0.7591249999999992,0.65,17.0,4.0,17.0,17.0,0.906154393064714,3280.0,31528,Hybrid,5,300,0.25,-1,6.0,4.0,17.0,0.9219005794867547,0.6864555734064455,0.2306371221602376
HYB-s17-b300-a0.25,0.58125,104.0241249999961,0.0658641804180753,0.8346249999999991,0.6625,17.0,3.0,17.0,17.0,0.9292223291007676,3119.0,30854,Hybrid,17,300,0.25,-1,17.0,4.0,17.0,0.9221837159495868,0.6677041019951627,0.225872540129045
HYB-s3-b200-a0.75,0.58125,114.63749999999555,0.0364985998209334,0.2854999999999999,0.615,17.0,4.0,17.0,17.0,0.901499695902172,5147.0,34335,Hybrid,3,200,0.75,-1,17.0,17.0,17.0,0.8569594429918866,0.6800285554003543,0.2363272143385345
SHD-s4-b300,0.57875,105.523124999996,0.0103298294667835,0.4176249999999997,0.6,7.0,4.0,7.0,17.0,0.907523931356664,112.0,31067,Shield,4,300,1.0,-1,17.0,8.0,17.0,0.8372677995772361,0.6812595412700796,0.2813324332003413
HYB-s9-b300-a0.50,0.57875,103.10474999999612,0.0604419182548122,0.6526249999999993,0.605,17.0,3.0,17.0,17.0,0.921909559809992,2951.0,28896,Hybrid,9,300,0.5,-1,17.0,4.0,17.0,0.9118781763040384,0.6643081084318787,0.2250988799039739
BTO-s1-b200,0.5775,108.56724999999592,0.0549405506809181,1.485874999999998,0.86,3.0,3.0,3.0,17.0,0.9676053900736874,8.0,31994,BTO,1,200,0.0,-1,4.0,2.0,17.0,0.9568706727726336,0.7079591250631599,0.2430939536104072
HYB-s11-b100-a0.25,0.5775,103.74337499999608,0.057819557125914,0.7791249999999992,0.67,17.0,4.0,17.0,17.0,0.9106323640136172,3515.0,31481,Hybrid,11,100,0.25,-1,17.0,4.0,17.0,0.9213428639864992,0.6813542910794806,0.228294072962626
SHD-s7-b300,0.5775,109.4177499999958,0.0081969385378387,0.4319999999999996,0.62,8.0,4.0,8.0,17.0,0.9119936619654488,200.0,32255,Shield,7,300,1.0,-1,17.0,7.0,17.0,0.8311241874800334,0.6825564068367633,0.2388585465678654
HYB-s15-b200-a0.25,0.5774999999999999,103.6433749999961,0.0587795358692737,0.6889999999999993,0.6325,17.0,3.0,17.0,17.0,0.9333302301539036,3484.0,31448,Hybrid,15,200,0.25,-1,7.0,4.0,17.0,0.928003425189082,0.6674826716872189,0.2184228951955732
HYB-s15-b200-a0.50,0.57625,106.70237499999595,0.051265311777326,0.4778749999999996,0.6175,5.0,3.0,5.0,17.0,0.9335917257491728,32.0,31456,Hybrid,15,200,0.5,-1,17.0,4.0,17.0,0.9028594662410456,0.6590144038889014,0.2232256690135302
HYB-s8-b200-a0.25,0.5762499999999999,105.76562499999602,0.0656475611676646,0.7452499999999991,0.635,17.0,3.0,17.0,17.0,0.915267856576392,2869.0,32180,Hybrid,8,200,0.25,-1,6.0,4.0,17.0,0.9278829344844188,0.6961231147942553,0.2368636362030509
SHD-s5-b300,0.5762499999999999,108.66487499999585,0.0102831486517002,0.2824999999999999,0.61,10.0,5.0,10.0,17.0,0.8993514237907172,567.0,31697,Shield,5,300,1.0,-1,17.0,7.0,17.0,0.8419937460464799,0.6828415456290081,0.2408341636275201
HYB-s3-b100-a0.25,0.575,104.06074999999606,0.0673715108363433,0.6821249999999992,0.6425,17.0,5.0,17.0,17.0,0.8872240328305081,3154.0,31174,Hybrid,3,100,0.25,-1,9.0,4.0,17.0,0.9216618227663896,0.6787484417916414,0.2376705485376002
SHD-s3-b300,0.57375,106.77749999999594,0.0085820397491039,0.3607499999999999,0.6125,17.0,5.0,17.0,17.0,0.8967931511198242,2337.0,32195,Shield,3,300,1.0,-1,17.0,9.0,17.0,0.8265710180922274,0.6762092890535646,0.2276352270783481
HYB-s8-b100-a0.25,0.57375,107.39712499999592,0.059298590713432,0.825624999999999,0.6675,5.0,2.0,5.0,17.0,0.9358797791727308,32.0,31732,Hybrid,8,100,0.25,-1,6.0,2.0,17.0,0.9382815534187956,0.6611279004801581,0.217954386546026
