cond,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
HYB-s3-b100-a0.75,17.0,6.0,17.0,0.8935540737789369,0.6907743979290252,0.2447754135858134
RL-s3-b100-a1.00,17.0,5.0,17.0,0.8912600718335972,0.6806637755938536,0.2527343503822602
HYB-s4-b100-a0.25,5.0,3.0,17.0,0.9432622905070532,0.6802590910120297,0.22037772441923492
HYB-s4-b100-a0.50,6.0,3.0,17.0,0.9270679749525169,0.6882389366530248,0.23104574443681342
HYB-s4-b100-a0.75,17.0,3.0,17.0,0.921918632215146,0.6592877734512272,0.22933659244139282
RL-s4-b100-a1.00,17.0,4.0,17.0,0.9115234174902896,0.6621609641565922,0.23284081533348813
HYB-s5-b100-a0.25,6.0,3.0,17.0,0.9331584187224677,0.6849795783987723,0.22766757962589396
HYB-s5-b100-a0.50,8.0,4.0,17.0,0.9307825522701588,0.6625482655822366,0.2283828745087849
HYB-s5-b100-a0.75,17.0,4.0,17.0,0.9155711375344052,0.6629088920433461,0.23255838646633242
RL-s5-b100-a1.00,17.0,5.0,17.0,0.8983266915135262,0.6749638158867587,0.23011662287590604
HYB-s6-b100-a0.25,5.0,4.0,17.0,0.9394899287347721,0.6713969334683859,0.22389645294278884
HYB-s6-b100-a0.50,17.0,5.0,17.0,0.8927684193243551,0.6618680818419753,0.22016144941221813
HYB-s6-b100-a0.75,17.0,4.0,17.0,0.9013239814278453,0.6479741418986497,0.22413450562201187
RL-s6-b100-a1.00,17.0,5.0,17.0,0.8940646190398253,0.667500184229017,0.23356946715279855
HYB-s7-b100-a0.25,5.0,3.0,17.0,0.9346489888941415,0.6901743681722625,0.23415282719074343
HYB-s7-b100-a0.50,17.0,5.0,17.0,0.8968266635115415,0.6757848550112291,0.23311802075361676
HYB-s7-b100-a0.75,17.0,6.0,17.0,0.8821278629201261,0.6804793718969376,0.22033276091723475
RL-s7-b100-a1.00,17.0,6.0,17.0,0.8770114661817658,0.6999009405906259,0.2348227529824275
HYB-s8-b100-a0.25,6.0,2.0,17.0,0.9382815534187957,0.6611279004801581,0.217954386546026
